Data  Count 
1436 1436 
5120 6556 
5120 11676 
5120 16796 
5120 21916 
5120 27036 
5120 32156 
5120 37276 
5120 42396 
5120 47516 
5120 52636 
5120 57756 
5120 62876 
5120 67996 
5120 73116 
5120 78236 
5120 83356 
5120 88476 
5120 93596 
5120 98716 
5120 103836 
5120 108956 
5120 114076 
5120 119196 
5120 124316 
5120 129436 
5120 134556 
5120 139676 
5120 144796 
5120 149916 
5120 155036 
5120 160156 
5120 165276 
5120 170396 
5120 175516 
5120 180636 
5120 185756 
5120 190876 
5120 195996 
5120 201116 
5120 206236 
5120 211356 
5120 216476 
5120 221596 
5120 226716 
3892 230608 
